code,name,agency,url,coverage,directory_verified
AUS,Australia,Australian Bureau of Statistics,https://www.abs.gov.au,Source agency identified; full harmonised dataset ingestion pending,True
AUT,Austria,Statistics Austria,https://www.statistik.at,Source agency identified; full harmonised dataset ingestion pending,True
BEL,Belgium,Statbel,https://statbel.fgov.be,Source agency identified; full harmonised dataset ingestion pending,True
CAN,Canada,Statistics Canada,https://www.statcan.gc.ca,Source agency identified; full harmonised dataset ingestion pending,True
CHL,Chile,National Statistics Institute,https://www.ine.gob.cl,Source agency identified; full harmonised dataset ingestion pending,True
COL,Colombia,DANE,https://www.dane.gov.co,Source agency identified; full harmonised dataset ingestion pending,True
CRI,Costa Rica,INEC,https://inec.cr,Source agency identified; full harmonised dataset ingestion pending,False
CZE,Czechia,Czech Statistical Office,https://csu.gov.cz,Source agency identified; full harmonised dataset ingestion pending,True
DNK,Denmark,Statistics Denmark,https://www.dst.dk,Source agency identified; full harmonised dataset ingestion pending,True
EST,Estonia,Statistics Estonia,https://www.stat.ee,Source agency identified; full harmonised dataset ingestion pending,True
FIN,Finland,Statistics Finland,https://www.stat.fi,Source agency identified; full harmonised dataset ingestion pending,True
FRA,France,INSEE,https://www.insee.fr,Source agency identified; full harmonised dataset ingestion pending,True
DEU,Germany,Destatis,https://www.destatis.de,Source agency identified; full harmonised dataset ingestion pending,True
GRC,Greece,ELSTAT,https://www.statistics.gr,Source agency identified; full harmonised dataset ingestion pending,True
HUN,Hungary,Hungarian Central Statistical Office,https://www.ksh.hu,Source agency identified; full harmonised dataset ingestion pending,True
ISL,Iceland,Statistics Iceland,https://www.statice.is,Source agency identified; full harmonised dataset ingestion pending,True
IRL,Ireland,Central Statistics Office,https://www.cso.ie,Source agency identified; full harmonised dataset ingestion pending,True
ISR,Israel,Central Bureau of Statistics,https://www.cbs.gov.il,Source agency identified; full harmonised dataset ingestion pending,True
ITA,Italy,ISTAT,https://www.istat.it,Source agency identified; full harmonised dataset ingestion pending,True
JPN,Japan,Statistics Bureau; Cabinet Office for national accounts,https://www.stat.go.jp,Source agency identified; full harmonised dataset ingestion pending,True
KOR,Korea,National Data Agency; Bank of Korea for national accounts,https://mods.go.kr,Source agency identified; full harmonised dataset ingestion pending,True
LVA,Latvia,Central Statistical Bureau,https://stat.gov.lv,Source agency identified; full harmonised dataset ingestion pending,True
LTU,Lithuania,State Data Agency,https://www.stat.gov.lt,Source agency identified; full harmonised dataset ingestion pending,True
LUX,Luxembourg,STATEC,https://statistiques.public.lu,Source agency identified; full harmonised dataset ingestion pending,True
MEX,Mexico,INEGI,https://www.inegi.org.mx,Source agency identified; full harmonised dataset ingestion pending,True
NLD,Netherlands,Statistics Netherlands,https://www.cbs.nl,Source agency identified; full harmonised dataset ingestion pending,True
NZL,New Zealand,Stats NZ,https://www.stats.govt.nz,Source agency identified; full harmonised dataset ingestion pending,True
NOR,Norway,Statistics Norway,https://www.ssb.no,Source agency identified; full harmonised dataset ingestion pending,True
POL,Poland,Statistics Poland,https://www.stat.gov.pl,Source agency identified; full harmonised dataset ingestion pending,True
PRT,Portugal,Statistics Portugal,https://www.ine.pt,Source agency identified; full harmonised dataset ingestion pending,True
SVK,Slovakia,Statistical Office,https://slovak.statistics.sk,Source agency identified; full harmonised dataset ingestion pending,True
SVN,Slovenia,Statistical Office,https://www.stat.si,Source agency identified; full harmonised dataset ingestion pending,True
ESP,Spain,INE,https://www.ine.es,Source agency identified; full harmonised dataset ingestion pending,True
SWE,Sweden,Statistics Sweden,https://www.scb.se,Source agency identified; full harmonised dataset ingestion pending,True
CHE,Switzerland,Federal Statistical Office,https://www.bfs.admin.ch,Source agency identified; full harmonised dataset ingestion pending,True
TUR,Türkiye,Turkish Statistical Institute,https://www.turkstat.gov.tr,Source agency identified; full harmonised dataset ingestion pending,True
GBR,United Kingdom,Office for National Statistics,https://www.ons.gov.uk,Source agency identified; full harmonised dataset ingestion pending,True
USA,United States,BEA; BLS for labour and prices,https://www.bea.gov,Source agency identified; full harmonised dataset ingestion pending,True
