country,indicator,period,value,unit,source,status,note
AUS,gdp_growth,2020-21,2,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_growth,2021-22,4.3,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_growth,2022-23,3.6,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_growth,2023-24,1.4,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_growth,2024-25,1.4,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_per_capita_growth,2020-21,1.6,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_per_capita_growth,2021-22,3.7,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_per_capita_growth,2022-23,1.4,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_per_capita_growth,2023-24,-1,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_per_capita_growth,2024-25,-0.3,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,productivity_growth,2020-21,1.7,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,productivity_growth,2021-22,1.5,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,productivity_growth,2022-23,-3.7,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,productivity_growth,2023-24,0.1,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,productivity_growth,2024-25,-0.7,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,market_productivity_growth,2020-21,1.6,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,market_productivity_growth,2021-22,2.3,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,market_productivity_growth,2022-23,-3.5,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,market_productivity_growth,2023-24,0.9,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,market_productivity_growth,2024-25,-0.2,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,nonmarket_productivity_growth,2020-21,2.3,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,nonmarket_productivity_growth,2021-22,-0.5,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,nonmarket_productivity_growth,2022-23,-3.4,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,nonmarket_productivity_growth,2023-24,-1,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,nonmarket_productivity_growth,2024-25,-1.9,% annual change,abs_a,official observation,Financial-year series; October 2025 vintage
AUS,gdp_qoq,2025-Q2,0.8,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_qoq,2025-Q3,0.5,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_qoq,2025-Q4,0.9,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_qoq,2026-Q1,0.3,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_qoq,2026-Q2,0.4,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_per_capita_qoq,2025-Q2,0.4,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_per_capita_qoq,2025-Q3,0.1,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_per_capita_qoq,2025-Q4,0.6,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_per_capita_qoq,2026-Q1,-0.1,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,gdp_per_capita_qoq,2026-Q2,0,% quarter change,abs_q,official observation,Nil or rounded to zero in ABS table
AUS,productivity_qoq,2025-Q2,0.5,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,productivity_qoq,2025-Q3,0.3,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,productivity_qoq,2025-Q4,0,% quarter change,abs_q,official observation,Nil or rounded to zero in ABS table
AUS,productivity_qoq,2026-Q1,-0.6,% quarter change,abs_q,official observation,Seasonally adjusted
AUS,productivity_qoq,2026-Q2,0,% quarter change,abs_q,official observation,Nil or rounded to zero in ABS table
AUS,gdp_yoy,2026-Q2,2.1,% through-year change,abs_q,official observation,
AUS,gdp_per_capita_yoy,2026-Q2,0.7,% through-year change,abs_q,official observation,
AUS,productivity_yoy,2026-Q2,-0.2,% through-year change,abs_q,official observation,
USA,productivity_level,1995,50.8,constant 2020 USD PPP/hour,oecd_p,official observation,
USA,productivity_level,2024,84.1,constant 2020 USD PPP/hour,oecd_p,official observation,
KOR,productivity_level,1995,13.9,constant 2020 USD PPP/hour,oecd_p,official observation,
KOR,productivity_level,2024,52,constant 2020 USD PPP/hour,oecd_p,official observation,
IRL,productivity_level,1995,42.5,constant 2020 USD PPP/hour,oecd_p,official observation,
IRL,productivity_level,2024,135.7,constant 2020 USD PPP/hour,oecd_p,official observation,
POL,productivity_level,1995,19.6,constant 2020 USD PPP/hour,oecd_p,official observation,
POL,productivity_level,2024,52.1,constant 2020 USD PPP/hour,oecd_p,official observation,
DNK,productivity_level,2024,92.2,constant 2020 USD PPP/hour,oecd_p,official observation,
NOR,productivity_level,2024,99.7,constant 2020 USD PPP/hour,oecd_p,official observation,
COL,productivity_level,2024,18.7,constant 2020 USD PPP/hour,oecd_p,official observation,
MEX,productivity_level,2024,33.6,constant 2020 USD PPP/hour,oecd_p,official observation,
AUS,ndis_cost,2018-19,10.5,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2019-20,17.6,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2020-21,23.3,AUD billion nominal accrual,ndis_a,official observation,
