id,name,chamber,party,state,electorate,occupation,sector_hint,source
316915,"ABDO, Basem",Member,Australian Labor Party,Vic,Calwell,Not recorded,Unknown,https://handbook.aph.gov.au/parliamentarians/316915
R36,"ALBANESE, the Hon. Anthony Norman",Member,Australian Labor Party,NSW,Grayndler,"Senior Policy Adviser to the Premier, the Hon. R Carr (NSW) from 1995 to 1996.",Political employment,https://handbook.aph.gov.au/parliamentarians/R36
R36,"ALBANESE, the Hon. Anthony Norman",Member,Australian Labor Party,NSW,Grayndler,Party official from 1989 to 1995.,Political employment,https://handbook.aph.gov.au/parliamentarians/R36
R36,"ALBANESE, the Hon. Anthony Norman",Member,Australian Labor Party,NSW,Grayndler,"Research officer to the Minister for Local Government and Administrative Services, the Hon. T Uren, MP from 1985 to 1989.",Political employment,https://handbook.aph.gov.au/parliamentarians/R36
R36,"ALBANESE, the Hon. Anthony Norman",Member,Australian Labor Party,NSW,Grayndler,Bank officer from 1980 to 1981.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/R36
11788,"ALDRED, Mary",Member,Liberal Party of Australia,Vic,Monash,Head of Corporate Affairs for Fujitsu Asia Pacific.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/11788
11788,"ALDRED, Mary",Member,Liberal Party of Australia,Vic,Monash,Chief Executive Officer for the Franchise Council of Australia.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/11788
11788,"ALDRED, Mary",Member,Liberal Party of Australia,Vic,Monash,Chief Executive Officer for the Committee for Gippsland.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/11788
11788,"ALDRED, Mary",Member,Liberal Party of Australia,Vic,Monash,Farmhand at family business.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/11788
298839,"ALLMAN-PAYNE, Penny",Senator,Australian Greens,Qld,,Lawyer from 2007 to 2012.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298839
298839,"ALLMAN-PAYNE, Penny",Senator,Australian Greens,Qld,,Secondary School Teacher from 1993 to 2022.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298839
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,"Professorial Fellow, 2015.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,Associate Professor at Curtin University from 2014 to 2015.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,Senior Lecturer at Curtin University and Edith Cowan University from 2011 to 2014.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,Manager of Training and Education at the Equal Opportunity Commission (WA) from 2007 to 2008.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,Senior Policy Officer at the Office of Multicultural Interests (WA) from 2002 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
13050,"ALY, the Hon. Dr Anne",Member,Australian Labor Party,WA,Cowan,"Senior Policy Officer at the Department of Education and Training (WA), from 2001 to 2002.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/13050
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,"Regional Director, St Vincent de Paul Society (NSW)",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/315618
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,"Senior Lawyer, the Australian Hotels Association (NSW)",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/315618
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,"Senior Associate, Hospitality Legal Pty Ltd",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/315618
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,"Legal Counsel, the Electrical Trades Union of Australia",Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/315618
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,"Legal Counsel, the Australian Nursing and Midwifery Federation (NSW Branch)",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/315618
315618,"AMBIHAIPAHAR, Ashvini (Ash)",Member,Australian Labor Party,NSW,Barton,Scientist/Anatomy Technical Officer at the University of Sydney,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/315618
290544,"ANANDA-RAJAH, Dr Michelle",Senator,Australian Labor Party,Vic,,Associate Editor from January 2021.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/290544
