country,indicator,period,value,unit,source,status
AUS,budget_net_debt,2000-01,46802.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2000-01,6.6,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2000-01,6195.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2000-01,0.9,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2001-02,42263.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2001-02,5.6,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2001-02,5352.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2001-02,0.7,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2002-03,33403.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2002-03,4.2,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2002-03,3758.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2002-03,0.5,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2003-04,26995.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2003-04,3.1,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2003-04,3040.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2003-04,0.4,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2004-05,15604.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2004-05,1.7,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2004-05,2502.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2004-05,0.3,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2005-06,331.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2005-06,0.0,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2005-06,2303.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2005-06,0.2,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2006-07,-24288.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2006-07,-2.2,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2006-07,228.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2006-07,0.0,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2007-08,-39958.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2007-08,-3.4,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2007-08,-1015.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2007-08,-0.1,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2008-09,-11285.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2008-09,-0.9,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2008-09,-1196.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2008-09,-0.1,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2009-10,47874.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2009-10,3.7,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2009-10,2386.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2009-10,0.2,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2010-11,90660.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2010-11,6.4,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2010-11,4608.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2010-11,0.3,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2011-12,153443.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2011-12,10.2,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2011-12,6609.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2011-12,0.4,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2012-13,159594.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2012-13,10.3,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2012-13,8285.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2012-13,0.5,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2013-14,209559.0,AUD million,budget26,Budget historical actual
