country,indicator,period,value,unit,source,status,detail
AUS,ndis_participants,2022-06,534655,people,ndis26,official observation,End-June active participants; not annual average
AUS,ndis_accrual,2021-22,28.631,AUD billion,ndis26,official observation,"Participant supports, accrual basis; operating expenses excluded"
AUS,ndia_operations,2021-22,1.59,AUD billion,ndis26,official observation,Agency operating expenses
AUS,ndis_participants,2023-06,610502,people,ndis26,official observation,End-June active participants; not annual average
AUS,ndis_accrual,2022-23,35.193,AUD billion,ndis26,official observation,"Participant supports, accrual basis; operating expenses excluded"
AUS,ndia_operations,2022-23,1.83,AUD billion,ndis26,official observation,Agency operating expenses
AUS,ndis_participants,2024-06,661267,people,ndis26,official observation,End-June active participants; not annual average
AUS,ndis_accrual,2023-24,41.846,AUD billion,ndis26,official observation,"Participant supports, accrual basis; operating expenses excluded"
AUS,ndia_operations,2023-24,2.08,AUD billion,ndis26,official observation,Agency operating expenses
AUS,ndis_participants,2025-06,739414,people,ndis26,official observation,End-June active participants; not annual average
AUS,ndis_accrual,2024-25,46.352,AUD billion,ndis26,official observation,"Participant supports, accrual basis; operating expenses excluded"
AUS,ndia_operations,2024-25,2.54,AUD billion,ndis26,official observation,Agency operating expenses
AUS,ndis_participants,2026-06,782013,people,ndis26,official observation,End-June active participants; not annual average
AUS,ndis_accrual,2025-26,51.197,AUD billion,ndis26,official observation,"Participant supports, accrual basis; operating expenses excluded"
AUS,ndia_operations,2025-26,2.91,AUD billion,ndis26,official observation,Agency operating expenses
AUS,ndis_participants,2025-07,745307,people,ndis_july,official observation,End-July active participants
AUS,ndis_rolling_supports,2025-07,46.7,AUD billion,ndis_july,management accounts,12 months ending July; includes accrued supports
AUS,ndis_average_payment,2025-07,65800,AUD per participant,ndis_july,management accounts,Annualised payment; cash and in-kind
AUS,ndis_participants,2026-07,785089,people,ndis_july,official observation,End-July active participants
AUS,ndis_rolling_supports,2026-07,51.69,AUD billion,ndis_july,management accounts,12 months ending July; includes accrued supports
AUS,ndis_average_payment,2026-07,67600,AUD per participant,ndis_july,management accounts,Annualised payment; cash and in-kind
AUS,ndis_payment_category,2025-26,26822,AUD million,ndis26,official observation,Core: daily activities
