code,name,unit,url,metadata_url,sha256,lastupdated,observations,countries
EG.FEC.RNEW.ZS,Renewable energy consumption,% of final energy consumption,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/EG.FEC.RNEW.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/EG.FEC.RNEW.ZS?format=json,f235d20e79e4403a46c4901d0fb3e43457d3aeab0b2447574cfa5d5a5d4607bb,2026-07-13,836,38
EG.IMP.CONS.ZS,Net energy imports,% of energy use,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/EG.IMP.CONS.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/EG.IMP.CONS.ZS?format=json,14ff05339540f4aed742e0f323c38e562175447814dd8b413a97be2d4ca229cd,2026-07-13,889,38
FP.CPI.TOTL.ZG,Consumer price inflation,% annual change,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/FP.CPI.TOTL.ZG?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/FP.CPI.TOTL.ZG?format=json,d442170388072ab0c11f2b5154cd5d5fb4f7b7ebd6230122f38b6ddf8a33543a,2026-07-13,987,38
FS.AST.PRVT.GD.ZS,Domestic credit to private sector,% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/FS.AST.PRVT.GD.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/FS.AST.PRVT.GD.ZS?format=json,dd2d48ed6efcf2a9f498aade6e285c40c9f3ddeaa4dc91912d21b337797484d8,2026-07-13,861,38
GB.XPD.RSDV.GD.ZS,Research and development expenditure,% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/GB.XPD.RSDV.GD.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/GB.XPD.RSDV.GD.ZS?format=json,75c7b4f336e7a58908c2f675e5231d7a8c03ce8ce7c0296e6cbc0e9780db283c,2026-07-13,850,38
GC.DOD.TOTL.GD.ZS,Central government debt,% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/GC.DOD.TOTL.GD.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/GC.DOD.TOTL.GD.ZS?format=json,2ba013bb5e9c58edce9f65a20d1853f9e730c2f1257554dc23311ad6f064df36,2026-07-13,279,15
GC.TAX.TOTL.GD.ZS,Tax revenue excluding most social contributions,% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/GC.TAX.TOTL.GD.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/GC.TAX.TOTL.GD.ZS?format=json,06d35f1ca9fa08386fe8c5a47015478f03833b4f0945eb7d095c2d80873929b1,2026-07-13,899,37
GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/GC.XPN.INTP.RV.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/GC.XPN.INTP.RV.ZS?format=json,9990fa8d79b2e39969006bc4370e330eef6366923c412e78ad1e44da8eb5b7b2,2026-07-13,897,37
GC.XPN.TOTL.GD.ZS,"Government expense, GFS reporting scope",% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/GC.XPN.TOTL.GD.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/GC.XPN.TOTL.GD.ZS?format=json,498d34a23fcf8809f59fdf021e0cb8e3eeedbc4d734ef453572e31cef05a313f,2026-07-13,873,38
NE.GDI.FTOT.ZS,Gross fixed capital formation,% of GDP,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/NE.GDI.FTOT.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/NE.GDI.FTOT.ZS?format=json,94cb25d6158ef939fcafbb9d4fbf6fe8f2bc3b8cc5a5c40e9325139676083ce8,2026-07-13,985,38
NY.GDP.MKTP.KD.ZG,Real GDP growth,% annual change,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/NY.GDP.MKTP.KD.ZG?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/NY.GDP.MKTP.KD.ZG?format=json,9a2546489f675ccefe3361c6412160dfbb130a6fe875006b388393cc9266aaa9,2026-07-13,988,38
NY.GDP.PCAP.KD,Real GDP per person,constant 2015 US$,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/NY.GDP.PCAP.KD?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/NY.GDP.PCAP.KD?format=json,d31df3bdf863f09241aac22d3e63f041e31f04966b3476b93b077cb91688ace1,2026-07-13,988,38
NY.GDP.PCAP.KD.ZG,Real GDP per person growth,% annual change,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/NY.GDP.PCAP.KD.ZG?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/NY.GDP.PCAP.KD.ZG?format=json,dc9de576770c01bdfc04d1a5c126f1ab6d438128b90ac326348b4be92611ae0a,2026-07-13,988,38
NY.GDP.PCAP.PP.KD,"Real GDP per person, PPP",constant 2021 international $,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/NY.GDP.PCAP.PP.KD?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/NY.GDP.PCAP.PP.KD?format=json,609636aae08bb10f679ecf2ef57a1b7f789694d71ccfa7175bbde66eca2b4327,2026-07-13,988,38
SI.POV.GINI,Income or consumption Gini,index 0–100,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/SI.POV.GINI?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/SI.POV.GINI?format=json,9a29119df94a154eed3a1851cc37eabc3f6d595ada36eb85ac12ee8166f0f997,2026-07-13,768,37
SL.GDP.PCAP.EM.KD,"Output per employed person, PPP",constant 2021 international $,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/SL.GDP.PCAP.EM.KD?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/SL.GDP.PCAP.EM.KD?format=json,d0dffbd8fc34b676aebc84e62ceac84590c5edb264926157703656fa1a69c284,2026-07-13,988,38
SL.TLF.CACT.ZS,"Labour force participation, modelled ILO estimate",% of population aged 15+,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/SL.TLF.CACT.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/SL.TLF.CACT.ZS?format=json,47f1d8141b520946120a299b59badb54a62b1e3b8cf62f2935bcc3ec9597831c,2026-07-13,988,38
SL.UEM.TOTL.ZS,"Unemployment, modelled ILO estimate",% of labour force,https://api.worldbank.org/v2/country/AUS;AUT;BEL;CAN;CHL;COL;CRI;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NLD;NZL;NOR;POL;PRT;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA/indicator/SL.UEM.TOTL.ZS?format=json&date=2000:2025&per_page=20000,https://api.worldbank.org/v2/indicator/SL.UEM.TOTL.ZS?format=json,7013b8bbbd4b89627fe8f028ea0e9547f38deed5234681784f82675ae8d689ce,2026-07-13,988,38
