country,indicator,period,value,unit,source,status
AUS,EG.FEC.RNEW.ZS,2000,8.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2001,8.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2002,8.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2003,7.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2004,6.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2005,6.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2006,6.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2007,7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2008,6.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2009,7.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2010,8.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2011,8.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2012,8.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2013,9.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2014,9.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2015,9.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2016,9.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2017,9.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2018,9.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2019,10.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2020,11.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUS,EG.FEC.RNEW.ZS,2021,12.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2000,26.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2001,25.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2002,24.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2003,22.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2004,23.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2005,24.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2006,26.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2007,29,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2008,29.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2009,31.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2010,31.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2011,31.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2012,34.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2013,34.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2014,35.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2015,34.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2016,34.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2017,34,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2018,34.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2019,34,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2020,35.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
AUT,EG.FEC.RNEW.ZS,2021,36,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2000,1.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2001,1.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2002,1.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2003,1.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2004,2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2005,2.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2006,2.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2007,3.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2008,4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2009,4.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2010,6.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2011,6.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2012,7.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2013,8.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2014,9.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2015,9.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2016,9.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2017,9.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2018,10.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2019,10.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2020,12.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
BEL,EG.FEC.RNEW.ZS,2021,11.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2000,20.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2001,19.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2002,20.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2003,19.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2004,20.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2005,21.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2006,21.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2007,21.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2008,21.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2009,22.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2010,21.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2011,21.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2012,21.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2013,22.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2014,22.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2015,22.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2016,22.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2017,22.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2018,22.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2019,22.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2020,23.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CAN,EG.FEC.RNEW.ZS,2021,23.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2000,18.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2001,18.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2002,18.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2003,18,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2004,18.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2005,18.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2006,18.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2007,19.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2008,19.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2009,20,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2010,20.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2011,20.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2012,21.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2013,21.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2014,22.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2015,23.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2016,24.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2017,25,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2018,24.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2019,24.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2020,26.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHE,EG.FEC.RNEW.ZS,2021,27.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2000,31.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2001,32.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2002,33.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2003,31.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2004,31.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2005,32.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2006,32.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2007,30.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2008,30.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2009,31.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2010,27,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2011,28.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2012,30.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2013,30.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2014,27,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2015,25.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2016,24.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CHL,EG.FEC.RNEW.ZS,2017,24.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
